Date,Name,Year,Letterboxd URI
2022-02-02,When the Levees Broke: A Requiem in Four Acts,2006,https://boxd.it/jgQ
2022-02-09,Drive My Car,2021,https://boxd.it/sv94
2022-02-11,High School,1968,https://boxd.it/gkK
2022-02-13,Magnolia,1999,https://boxd.it/2aze
2022-02-13,Punch-Drunk Love,2002,https://boxd.it/20E4
2022-02-13,Inherent Vice,2014,https://boxd.it/5hla
2022-02-16,A Scanner Darkly,2006,https://boxd.it/25jK
2022-02-16,Ghost in the Shell,1995,https://boxd.it/1YYc
2022-02-16,Aya of Yop City,2013,https://boxd.it/67eg
2022-02-16,Persepolis,2007,https://boxd.it/27DC
2022-02-16,Pan's Labyrinth,2006,https://boxd.it/28No
2022-02-19,Death of a Cyclist,1955,https://boxd.it/2pjK
2022-02-19,The Last Picture Show,1971,https://boxd.it/1weg
2022-02-21,August 32nd on Earth,1998,https://boxd.it/hY2
2022-02-22,A Brighter Summer Day,1991,https://boxd.it/1Luy
2022-02-23,The Exiles,2022,https://boxd.it/yoQM
2022-02-23,Surf's Up,2007,https://boxd.it/1YKY
2022-02-23,A Night of Knowing Nothing,2021,https://boxd.it/vBUw
2022-02-23,Scorpio Rising,1963,https://boxd.it/Mks
2022-02-28,Speak No Evil,2022,https://boxd.it/vqlg
2022-02-28,Navalny,2022,https://boxd.it/yV2g
2022-02-28,After Yang,2021,https://boxd.it/lx5a
2022-02-28,Fire of Love,2022,https://boxd.it/yoPY
2022-03-02,Lost in Translation,2003,https://boxd.it/2b0E
2022-03-02,Carol,2015,https://boxd.it/7DPK
2022-03-02,Maria Candelaria,1944,https://boxd.it/gxO
2022-03-02,Shanghai Triad,1995,https://boxd.it/1842
2022-03-16,Fresh,2022,https://boxd.it/tCNi
2022-03-16,The Worst Person in the World,2021,https://boxd.it/oyws
2022-03-16,Viridiana,1961,https://boxd.it/24eE
2022-03-16,Black Girl,1966,https://boxd.it/3jIQ
2022-03-16,Bicycle Thieves,1948,https://boxd.it/23hW
